OTU_ID,NTC1_A,BS1_01_A,BS1_02_A,BS1_03_A,BS1_04_A,BS1_06_A,BH1_01_A,BH1_02_A,RS1_01_A,RS1_02_A,RS1_03_A,RS1_04_A,RS1_05_A,RS1_06_A,RS1_07_A,RS1_08_A,R1_01_A,R1_02_A,R1_03_A,R1_04_A,R1_05_A,R1_06_A,R1_07_A,R1_08_A,R1_09_A,R1_10_A,R1_11_A,R1_12_A,R1_13_A,R1_14_A,R1_15_A,R1_16_A,Kingdom,Phylum,Class,Order,Family,Genus,Species
ZOTU27,1,821,1370,656,1478,1159,1049,1802,52,64,20,92,222,118,110,176,0,1,0,0,0,1,0,14,0,0,0,3,0,0,0,1,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__
ZOTU57,1,299,539,384,301,291,233,470,154,90,58,191,204,149,106,47,0,0,0,0,0,1,1,0,55,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Tetracladium,s__
ZOTU6,3,5,62,61,67669,89,94,3,1,0,0,0,217,9,5,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,k__Fungi,p__Blastocladiomycota,c__,o__,f__,g__,s__
ZOTU4,1,16,33,34,15,140,30,0,180,1313,0,27,221,690,3,11,10332,13757,1178,5940,3294,9836,1516,388,7774,3852,72,781,2406,2045,2149,377,k__Fungi,p__,c__,o__,f__,g__,s__
ZOTU32,2,273,7651,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,5,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Podospora,s__
ZOTU9,3,544,986,689,721,580,29,146,2967,1132,183,827,7673,1289,899,148,17319,598,0,0,19,285,19,5,6017,59,0,2,63,174,24,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_grisea_SH374010.07FU
ZOTU1,4,154,239,90,83,151,74,127,300,1677,39,55,1243,1661,60,111,22216,18667,4449,345,11011,11896,1144,9093,16675,16153,204,1030,4605,20216,1454,6450,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Dactylonectria,s__Dactylonectria_estremocensis_SH238190.07FU
ZOTU44,1,454,903,698,396,494,610,579,95,125,98,162,150,168,114,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__Solicoccozyma_terricola_SH190017.07FU
ZOTU45,1,859,727,136,84,960,59,200,104,117,36,646,418,224,51,90,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
ZOTU31,1,1,0,0,0,0,0,0,341,140,18,107,49,62,6,5,2911,240,616,133,268,577,505,414,1125,875,162,86,29,2526,791,286,k__Fungi,p__Cercozoa,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Xylaria,s__Davidiella_rosigena_SH016560.07FU
ZOTU2,2,6486,3654,95931,3717,4761,2848,3794,3444,2435,1393,4061,4238,6482,1769,1583,199,0,17,18,12,4,21,5,79,74,19,5,0,3,26,10,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_minutissima_SH196780.07FU
ZOTU47,1,318,248,420,243,98,221,415,537,200,404,759,495,225,148,182,6,0,18,0,0,0,0,0,17,0,0,3,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_fatshederae_SH180138.07FU
ZOTU33,1,679,1494,1265,618,496,515,759,255,161,176,328,409,440,102,88,12,0,0,0,5,10,0,4,21,0,1,1,0,11,3,1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Endophoma,s__Endophoma_elongata_SH245103.07FU
ZOTU5,1,0,0,98,25,3,4,1,227,136,15,185,79,0,28,157,2594,249,2999,426,1655,3658,6746,13179,1107,437,511,1850,189,5961,17648,16805,k__Fungi,p__Olpidiomycota,c__Olpidiomycetes,o__Olpidiales,f__Olpidiaceae,g__Olpidium,s__Olpidium_brassicae_SH216672.07FU
ZOTU10,1,767,1421,691,467,1375,1215,1626,291,276,491,4057,637,388,488,624,5965,1411,17796,26191,321,2110,6580,9294,1307,2663,2364,5954,58,587,12739,9023,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_fujikuroi_SH631251.07FU
ZOTU19,1,368,1040,647,526,210,183,645,229,93,4,206,202,142,73,109,1904,114,888,25,122,243,158,672,448,565,172,84,96,827,366,205,k__Fungi,p__,c__,o__,f__,g__,s__
ZOTU48,1,319,683,1019,349,663,67,93,54,81,103,444,150,459,249,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU
ZOTU84,0,52,111,126,154,590,88,348,68,89,48,104,58,6,0,5,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU
ZOTU138,0,148,431,6,0,18,0,0,276,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__,g__,s__
ZOTU271,0,45,171,28,3,52,102,0,3,14,0,151,36,72,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,k__Fungi,p__Cercozoa,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Protoblastenia_laeta_SH214901.07FU
ZOTU35,0,307,699,157,85,340,338,73,0,31,48,6122,26,1517,381,9,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,k__Fungi,p__Chytridiomycota,c__,o__,f__,g__,s__
ZOTU39,0,1353,1408,387,463,182,562,385,87,286,284,366,348,604,381,94,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
ZOTU203,0,350,40,36,28,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
ZOTU74,0,705,393,76,226,156,61,0,0,245,0,0,10,0,1241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Minimedusa,s__Minimedusa_polyspora_SH201127.07FU
ZOTU108,0,946,26,2,1,13,163,13,0,0,0,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Cladorrhinum,s__Cladorrhinum_foecundissimum_SH181907.07FU
ZOTU207,0,440,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Minimedusa,s__Minimedusa_polyspora_SH201128.07FU
ZOTU95,0,452,578,381,269,495,447,1191,29,59,38,200,45,261,33,36,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_camargensis_SH180119.07FU
ZOTU15,0,3331,8889,4147,4094,4540,2672,7509,2603,1035,678,2404,1479,1372,482,740,129,2,107,3,1,2,29,22,160,10,1,29,0,11,35,42,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_exigua_SH214063.07FU
ZOTU14,0,4378,4826,1558,4087,2353,2115,3327,2826,636,1309,5666,539,4116,1201,1444,1,1,0,0,0,344,0,0,1,0,0,0,0,1,0,1,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__,g__,s__
ZOTU733,0,44,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae,g__,s__
ZOTU30,0,547,1055,1330,1269,1171,703,560,267,173,190,517,421,218,112,94,12,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__Solicoccozyma_terrea_SH190018.07FU
ZOTU38,0,47,62,28,15,16,1,78,21,11,0,0,7,11,4,3,280,84,562,36,840,841,85,185,244,1135,176,11,79,441,144,1385,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__,g__,s__
ZOTU51,0,325,429,293,237,1525,121,458,163,135,70,113,114,88,84,37,41,0,1,15,3,33,24,34,2,3,54,19,0,2,28,43,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_intricans_SH204421.07FU
ZOTU115,0,1315,0,18,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,10,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Waitea,s__Waitea_circinata_var._circinata_SH015963.07FU
ZOTU99,0,323,128,15,33,487,118,152,25,55,29,18,0,9,6,0,0,2,5,0,0,0,0,0,1,2,0,1,0,0,1,0,k__Fungi,p__,c__,o__,f__,g__,s__
ZOTU8,0,4439,12155,1430,2553,2323,1014,811,2626,2803,2265,9503,692,6802,2061,33,1,1,1,0,0,7,0,0,6,2,2,1,0,2,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Pseudaleuria,s__
ZOTU60,0,207,689,217,561,461,180,352,234,61,107,55,287,146,100,140,0,8,0,0,0,1,0,0,0,50,0,0,1,9,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__
ZOTU155,0,126,93,67,77,13,0,12,16,5,0,0,15,4,0,2,13,0,59,2,75,21,68,33,2,0,5,0,8,0,0,46,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Ophiosphaerella,s__
ZOTU110,0,172,127,56,66,120,0,112,115,125,143,45,0,204,16,37,21,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_fatshederae_SH180138.07FU
ZOTU102,0,238,337,33,18,109,0,0,27,189,96,33,380,102,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__,s__
ZOTU162,0,105,75,27,19,494,0,0,0,6,14,0,3,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Podospora,s__Podospora_multipilosa_SH018052.07FU
ZOTU195,0,37,0,317,84,0,28,0,39,169,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Pleopsidium,s__Pleopsidium_flavum_SH191923.07FU
ZOTU283,0,69,58,17,27,2,14,70,8,0,4,0,10,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__,s__
ZOTU208,0,35,0,10,29,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Staurothele_fissa_SH008641.07FU
ZOTU127,0,89,206,149,135,35,156,453,2,27,76,0,30,64,10,28,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_beljakovae_SH640210.07FU
ZOTU145,0,56,106,82,57,252,44,39,3,72,18,25,23,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,f__Piptocephalidaceae,g__Syncephalis,s__Tulostoma_brumale_SH191023.07FU
ZOTU7,0,56,127,191,45,118,24,103,12,35,0,200,32,11028,23,19,39,24,437,2,23002,550,258,8,12,33,36,9711,2080,27,156,24,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__,s__
ZOTU23,0,297,210,78,13,53,25,57,4,2,21,109,5,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Glomeraceae,g__Pluteus,s__Pleuroflammula_praestans_SH030509.07FU
ZOTU87,0,481,244,127,111,204,58,50,35,93,29,122,73,78,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Cercophora,s__Cercophora_sulphurella_SH028046.07FU
ZOTU552,0,21,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
ZOTU71,0,525,435,1634,79,135,64,932,106,339,0,35,5,0,30,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__,g__,s__
ZOTU17,0,1046,2666,1096,1656,932,208,1153,446,323,273,674,918,472,327,232,28,0,0,0,6,0,40,11,12,14,0,0,1,0,0,12,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__,s__
ZOTU859,0,79,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Protista,p__Cercozoa,c__Lecanoromycetes,o__Pezizales,f__Pezizaceae,g__Peziza,s__
ZOTU1666,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Podospora,s__
ZOTU70,0,366,868,295,5,15,154,50,119,77,60,721,417,36,119,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
ZOTU1129,0,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Kickxellomycota,c__Kickxellomycetes,o__Kickxellales,f__Kickxellaceae,g__Ramicandelaber,s__Ramicandelaber_taiwanensis_SH184018.07FU
ZOTU22,0,615,1637,688,433,357,312,632,337,317,96,715,420,339,162,103,225,47,870,134,24,134,131,362,508,197,19,20,5,332,539,123,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,s__Exophiala_equina_SH197643.07FU
ZOTU557,0,65,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,s__Conocybe_velutipes_SH220674.07FU
ZOTU246,0,11,35,118,13,3,0,94,3,20,0,18,30,0,3,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__Preussia_africana_SH184194.07FU
ZOTU1135,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hydnodontaceae,g__Helminthosporium,s__Helminthosporium_solani_SH180770.07FU
ZOTU359,0,3,75,42,8,0,115,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_fuscodisca_SH190318.07FU
ZOTU128,0,119,169,89,34,0,38,30,29,41,0,32,37,22,12,0,2,6,172,19,7,19,30,17,24,60,7,11,0,37,8,8,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
ZOTU593,0,78,23,0,32,17,2,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Cladorrhinum,s__Cladorrhinum_bulbillosum_SH522903.07FU
ZOTU575,0,1250,4419,945,375,626,553,1097,28,53,22,243,133,8,79,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__Rhizophagus_irregularis_SH196864.07FU
ZOTU226,0,52,401,1,180,1,0,0,0,161,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Cadophora,s__Collembolispora_aristata_SH092198.07FU
ZOTU431,0,36,0,0,0,0,10,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinopsis,s__Coprinopsis_narcotica_SH219019.07FU
ZOTU151,0,84,484,80,61,276,0,66,2,5,13,132,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Podospora,s__
ZOTU36,0,754,904,260,729,414,370,593,511,128,237,999,112,704,204,280,1,0,0,1,0,87,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__,g__,s__
ZOTU322,0,49,18,22,0,71,0,0,0,0,0,22,43,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,s__
ZOTU218,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Flagelloscypha,s__Flagelloscypha_minutissima_SH488927.07FU
ZOTU68,0,323,74,215,87,1307,60,200,4,168,0,49,51,0,1,65,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariaceae,g__,s__
ZOTU211,0,53,83,42,74,24,46,25,4,19,0,6,0,49,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Cercophora,s__Lasiosphaeria_ovina_SH026207.07FU
ZOTU391,0,57,21,0,0,0,48,0,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,s__Scutellinia_scutellata_SH215678.07FU
ZOTU242,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Flagelloscypha,s__Flagelloscypha_minutissima_SH488927.07FU
ZOTU107,0,111,177,141,93,218,169,88,30,35,11,23,72,39,22,28,5,0,0,0,2,31,0,0,0,0,0,0,0,3,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariaceae,g__,s__
ZOTU182,0,76,108,147,61,20,27,9,0,103,111,0,81,63,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Clavaria_acuta_SH497079.07FU
ZOTU144,0,87,82,48,68,96,77,111,37,47,43,81,53,62,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Trichocladium,s__Trichocladium_opacum_SH198656.07FU
ZOTU69,0,71,26,61,138,446,145,156,0,0,58,0,0,0,5,0,0,4,1513,2,41,64,0,3,5,0,28,0,8,141,18,21,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Cadophora,s__Cadophora_orchidicola_SH527184.07FU
ZOTU188,0,95,67,21,28,29,51,96,11,2,38,73,13,5,30,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,42,4,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_venenatum_SH215301.07FU
ZOTU140,0,42,30,83,501,43,0,18,0,0,0,0,58,6,10,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__Lophiostoma_cynaroidis_SH216764.07FU
ZOTU405,0,9,24,15,16,0,0,0,0,20,8,12,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormia,s__
ZOTU163,0,181,143,36,142,0,3,37,11,92,0,158,1,17,1,6,1,0,0,9,26,1,0,4,15,0,0,0,1,0,0,5,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Cadophora,s__Collembolispora_barbata_SH186791.07FU
ZOTU650,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Rozellomycota,c__Rozellomycota_cls_Incertae_sedis,o__GS04,f__Cortinariaceae,g__Cortinarius,s__Glaciozyma_antarctica_SH202336.07FU
ZOTU1606,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Cercozoa,c__Dothideomycetes,o__Pezizales,f__Pyronemataceae,g__Aspergillus,s__Catinella_olivacea_SH470346.07FU
ZOTU630,0,9,0,3,50,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Hypholoma,s__Hypholoma_fasciculare_SH201439.07FU
ZOTU1521,0,141,225,57,8,0,0,21,96,572,0,146,127,229,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Protista,p__Cercozoa,c__Dothideomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Inocybe_lanuginosa_SH190702.07FU
ZOTU1004,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Cladosporium,s__Cladosporium_cladosporioides_SH631400.07FU
ZOTU721,0,75,2,14,28,23,8,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Coccidioides_immitis_SH192688.07FU
ZOTU365,0,146,0,0,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Articulospora,s__
ZOTU117,0,112,97,109,100,105,38,54,17,89,13,50,54,125,19,14,15,2,35,5,0,2,17,1,15,2,2,0,0,0,10,23,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massarinaceae,g__Periconia,s__Periconia_macrospinosa_SH204049.07FU
ZOTU763,0,16,0,0,0,7,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Cercozoa,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Proliferodiscus_tricolor_SH014732.07FU
ZOTU453,0,22,0,22,4,2,77,18,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__Diversispora_spurca_SH196890.07FU
ZOTU254,0,81,118,48,6,0,0,14,112,225,0,62,54,70,43,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Protista,p__Cercozoa,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Xylodon_detriticus_SH522655.07FU
ZOTU215,0,62,68,20,39,327,0,0,5,0,21,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Inocybe,s__Thamnogalla_crombiei_SH203075.07FU
ZOTU89,0,249,1,552,81,192,33,0,0,0,0,754,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__,f__,g__,s__
ZOTU43,0,673,835,891,1036,1135,480,1709,49,50,188,566,270,259,48,161,46,2,0,3,0,0,0,10,90,0,88,2,0,0,19,22,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_camargensis_SH180119.07FU
